trait,country,admin1,admin2,collection_date,latitude,longitude,location_used
PV309680|A/Domestic_bird/BC/FAV-1128-2022/2022|H5N1|Canada-BC|2022-10-11|domestic_avian|B3.2,Canada,BC,Unknown,2022-10-11,NA,NA,
PV314256|A/Layer_chicken/BC/FAV-1623-1-2022/2022|H5N1|Canada-BC|2022-12-06|domestic_avian|B3.2,Canada,BC,Unknown,2022-12-06,NA,NA,
EPI_ISL_18665595|A/Cooper_s_Hawk/BC/AIVPHL-1125/2023|H5N1|Canada-BC|2023-05-23|wild_avian|B3.2,Canada,BC,Unknown,2023-05-23,NA,NA,
EPI_ISL_18665611|A/Barred_Owl/BC/AIVPHL-1238/2023|H5N1|Canada-BC|2023-07-24|wild_avian|B3.2,Canada,BC,Unknown,2023-07-24,NA,NA,
EPI_ISL_19303642|A/Hooded_Merganser/BC/AIVPHL-2033/2024|H5N1|Canada-BC|2024-02-16|wild_avian|B3.2,Canada,BC,Unknown,2024-02-16,NA,NA,
EPI_ISL_18665510|A/Dunlin/BC/AIVPHL-940/2023|H5N1|Canada-BC|2023-02-06|wild_avian|B3.2,Canada,BC,Unknown,2023-02-06,NA,NA,
PV322704|A/chicken/BC/FAV-0011-1-2023/2023|H5N1|Canada-BC|2023-01-03|domestic_avian|B3.2,Canada,BC,Unknown,2023-01-03,NA,NA,
PV319152|A/Striped_Skunk/BC/FAV-0091-1-2023/2023|H5N1|Canada-BC|2023-02-16|other_mammal|B3.2,Canada,BC,Unknown,2023-02-16,NA,NA,
PV315624|A/Peregrine_Falcon/BC/FAV-0256-2-2023/2023|H5N1|Canada-BC|2023-06-05|wild_avian|B3.2,Canada,BC,Unknown,2023-06-05,NA,NA,
PV301952|A/American_Crow/MB/FAV-0364-9-2022/2022|H5N1|Canada-MB|2022-04-22|wild_avian|B3.2,Canada,MB,Unknown,2022-04-22,NA,NA,
PV301984|A/American_Crow/MB/FAV-0469-14-2022/2022|H5N1|Canada-MB|2022-05-06|wild_avian|B3.2,Canada,MB,Unknown,2022-05-06,NA,NA,
PV309736|A/Domestic_bird/MB/FAV-0716-5-2022/2022|H5N1|Canada-MB|2022-06-15|domestic_avian|B3.2,Canada,MB,Unknown,2022-06-15,NA,NA,
PV321880|A/Western_Grebe/MB/FAV-0846-2-2022/2022|H5N1|Canada-MB|2022-07-04|wild_avian|B3.2,Canada,MB,Unknown,2022-07-04,NA,NA,
PV321888|A/Western_Grebe/MB/FAV-0846-3-2022/2022|H5N1|Canada-MB|2022-07-04|wild_avian|B3.2,Canada,MB,Unknown,2022-07-04,NA,NA,
PV309744|A/Domestic_bird/MB/FAV-0929-1-2022/2022|H5N1|Canada-MB|2022-09-13|domestic_avian|B3.2,Canada,MB,Unknown,2022-09-13,NA,NA,
PV320960|A/Turkey/MB/FAV-0994-2-2022/2022|H5N1|Canada-MB|2022-09-29|domestic_avian|B3.2,Canada,MB,Unknown,2022-09-29,NA,NA,
PV324056|A/chicken/MB/FAV-1061-1-2022/2022|H5N1|Canada-MB|2022-10-05|domestic_avian|B3.2,Canada,MB,Unknown,2022-10-05,NA,NA,
PV317784|A/Snow_Goose/MB/FAV-0227-3-2022/2022|H5N1|Canada-MB|2022-04-08|wild_avian|B3.2,Canada,MB,Unknown,2022-04-08,NA,NA,
PV317808|A/Snow_Goose/MB/FAV-0258-2-2023/2023|H5N1|Canada-MB|2023-05-02|wild_avian|B3.2,Canada,MB,Unknown,2023-05-02,NA,NA,
PV302000|A/American_Crow/MB/FAV-0687-5-2022/2022|H5N1|Canada-MB|2022-05-21|wild_avian|B3.2,Canada,MB,Unknown,2022-05-21,NA,NA,
PV303336|A/American_White_Pelican/MB/FAV-0798-3-2022/2022|H5N1|Canada-MB|2022-06-08|wild_avian|B3.2,Canada,MB,Unknown,2022-06-08,NA,NA,
PV303768|A/Bald_Eagle/MB/OTH-0142-1-2022/2022|H5N1|Canada-MB|2022-10-12|wild_avian|B3.2,Canada,MB,Unknown,2022-10-12,NA,NA,
PV301592|A/American_Black_Duck/NB/FAV-1206-8-2022/2022|H5N1|Canada-NB|2022-09-27|wild_avian|B3.2,Canada,NB,Unknown,2022-09-27,NA,NA,
PV324088|A/chicken/NB/FAV-0013-2023/2023|H5N1|Canada-NB|2023-01-10|domestic_avian|B3.2,Canada,NB,Unknown,2023-01-10,NA,NA,
PV306320|A/Canada_Goose/NS/FAV-0088-4-2023/2023|H5N1|Canada-NS|2023-02-19|wild_avian|B3.2,Canada,NS,Unknown,2023-02-19,NA,NA,
PV302152|A/American_Crow/NS/FAV-0122-1-2023/2023|H5N1|Canada-NS|2023-03-21|wild_avian|B3.2,Canada,NS,Unknown,2023-03-21,NA,NA,
PV302336|A/American_Crow/ON/FAV-0149-2-2023/2023|H5N1|Canada-ON|2023-03-24|wild_avian|B3.2,Canada,ON,Unknown,2023-03-24,NA,NA,
PV317880|A/Snow_Goose/ON/FAV-1652-2-2022/2022|H5N1|Canada-ON|2022-12-23|wild_avian|B3.2,Canada,ON,Unknown,2022-12-23,NA,NA,
PV319672|A/Tundra_Swan/ON/FAV-1653-1-2022/2022|H5N1|Canada-ON|2022-11-30|wild_avian|B3.2,Canada,ON,Unknown,2022-11-30,NA,NA,
PV317904|A/Snow_Goose/ON/FAV-1653-4-2022/2022|H5N1|Canada-ON|2022-11-30|wild_avian|B3.2,Canada,ON,Unknown,2022-11-30,NA,NA,
PV302264|A/American_Crow/ON/FAV-0118-1-2023/2023|H5N1|Canada-ON|2023-03-11|wild_avian|B3.2,Canada,ON,Unknown,2023-03-11,NA,NA,
PV303360|A/American_White_Pelican/ON/FAV-0803-1-2022/2022|H5N1|Canada-ON|2022-05-16|wild_avian|B3.2,Canada,ON,Unknown,2022-05-16,NA,NA,
PV303368|A/American_White_Pelican/ON/FAV-0803-2-2022/2022|H5N1|Canada-ON|2022-06-08|wild_avian|B3.2,Canada,ON,Unknown,2022-06-08,NA,NA,
PV315664|A/Peregrine_Falcon/ON/FAV-0853-3-2022/2022|H5N1|Canada-ON|2022-06-12|wild_avian|B3.2,Canada,ON,Unknown,2022-06-12,NA,NA,
PV303384|A/American_White_Pelican/ON/FAV-0867-2-2022/2022|H5N1|Canada-ON|2022-07-07|wild_avian|B3.2,Canada,ON,Unknown,2022-07-07,NA,NA,
PV302416|A/American_Crow/ON/FAV-1440-3-2022/2022|H5N1|Canada-ON|2022-10-30|wild_avian|B3.2,Canada,ON,Unknown,2022-10-30,NA,NA,
PV317872|A/Snow_Goose/ON/FAV-1652-1-2022/2022|H5N1|Canada-ON|2022-12-22|wild_avian|B3.2,Canada,ON,Unknown,2022-12-22,NA,NA,
PV307248|A/Canada_Goose/PE/FAV-0008-1-2022/2022|H5N1|Canada-PE|2022-12-21|wild_avian|B3.2,Canada,PE,Unknown,2022-12-21,NA,NA,
PV302528|A/American_Crow/PE/FAV-0068-5-2023/2023|H5N1|Canada-PE|2023-01-31|wild_avian|B3.2,Canada,PE,Unknown,2023-01-31,NA,NA,
PV302536|A/American_Crow/PE/FAV-0068-6-2023/2023|H5N1|Canada-PE|2023-01-31|wild_avian|B3.2,Canada,PE,Unknown,2023-01-31,NA,NA,
PV302560|A/American_Crow/PE/FAV-0086-1-2023/2023|H5N1|Canada-PE|2023-02-17|wild_avian|B3.2,Canada,PE,Unknown,2023-02-17,NA,NA,
PV307384|A/Canada_Goose/PE/FAV-0096-3-2023/2023|H5N1|Canada-PE|2023-02-27|wild_avian|B3.2,Canada,PE,Unknown,2023-02-27,NA,NA,
PV302640|A/American_Crow/PE/FAV-0121-1-2023/2023|H5N1|Canada-PE|2023-03-22|wild_avian|B3.2,Canada,PE,Unknown,2023-03-22,NA,NA,
PV319272|A/Striped_Skunk/PE/FAV-0123-1-2023/2023|H5N1|Canada-PE|2023-03-21|other_mammal|B3.2,Canada,PE,Unknown,2023-03-21,NA,NA,
PV319312|A/Striped_Skunk/PE/FAV-0179-1-2023/2023|H5N1|Canada-PE|2023-04-21|other_mammal|B3.2,Canada,PE,Unknown,2023-04-21,NA,NA,
PV302464|A/American_Crow/PE/FAV-0019-5-2022/2022|H5N1|Canada-PE|2022-12-28|wild_avian|B3.2,Canada,PE,Unknown,2022-12-28,NA,NA,
PV319320|A/Striped_Skunk/PE/FAV-1642-1-2022/2022|H5N1|Canada-PE|2022-11-15|other_mammal|B3.2,Canada,PE,Unknown,2022-11-15,NA,NA,
PV301315|A/Duck/QC/FAV-0051-1-2023/2023|H5N1|Canada-QC|2023-02-01|domestic_avian|B3.2,Canada,QC,Unknown,2023-02-01,NA,NA,
PV307456|A/Canada_Goose/QC/FAV-0061-1-2022/2022|H5N1|Canada-QC|2022-12-05|wild_avian|B3.2,Canada,QC,Unknown,2022-12-05,NA,NA,
PV316800|A/Red-Tailed_Hawk/QC/FAV-0076-4-2022/2022|H5N1|Canada-QC|2022-12-06|wild_avian|B3.2,Canada,QC,Unknown,2022-12-06,NA,NA,
PV321400|A/Turkey/QC/FAV-0168-3A-2023/2023|H5N1|Canada-QC|2023-04-21|domestic_avian|B3.2,Canada,QC,Unknown,2023-04-21,NA,NA,
PV304152|A/Barred_Owl/QC/FAV-0248-1-2023/2023|H5N1|Canada-QC|2023-04-04|wild_avian|B3.2,Canada,QC,Unknown,2023-04-04,NA,NA,
PV318152|A/Snow_Goose/QC/FAV-1493-1-2022/2022|H5N1|Canada-QC|2022-11-02|wild_avian|B3.2,Canada,QC,Unknown,2022-11-02,NA,NA,
PV317952|A/Snow_Goose/QC/FAV-0018-1-2023/2022|H5N1|Canada-QC|2022-11-11|wild_avian|B3.2,Canada,QC,Unknown,2022-11-11,NA,NA,
PV301712|A/American_Black_Duck/QC/FAV-0115-3-2023/2023|H5N1|Canada-QC|2023-03-01|wild_avian|B3.2,Canada,QC,Unknown,2023-03-01,NA,NA,
PV303016|A/American_Crow/SK/FAV-0575-14-2022/2022|H5N1|Canada-SK|2022-04-28|wild_avian|B3.2,Canada,SK,Unknown,2022-04-28,NA,NA,
PV304560|A/Black-billed_Magpie/SK/FAV-0802-32-2022/2022|H5N1|Canada-SK|2022-04-22|wild_avian|B3.2,Canada,SK,Unknown,2022-04-22,NA,NA,
PV313464|A/Great_Horned_Owl/SK/FAV-0802-45-2022/2022|H5N1|Canada-SK|2022-05-05|wild_avian|B3.2,Canada,SK,Unknown,2022-05-05,NA,NA,
PV303168|A/American_Crow/SK/FAV-0802-76-2022/2022|H5N1|Canada-SK|2022-05-20|wild_avian|B3.2,Canada,SK,Unknown,2022-05-20,NA,NA,
PV311152|A/Double-Crested_Cormorant/SK/FAV-0912-7-2022/2022|H5N1|Canada-SK|2022-06-06|wild_avian|B3.2,Canada,SK,Unknown,2022-06-06,NA,NA,
PV310832|A/Domestic_bird/SK/FAV-0986-2-2022/2022|H5N1|Canada-SK|2022-09-28|domestic_avian|B3.2,Canada,SK,Unknown,2022-09-28,NA,NA,
PV310888|A/Domestic_bird/SK/FAV-1259-1-2022/2022|H5N1|Canada-SK|2022-10-22|domestic_avian|B3.2,Canada,SK,Unknown,2022-10-22,NA,NA,
PV324608|A/chicken/SK/FAV-1261-2-2022/2022|H5N1|Canada-SK|2022-10-22|domestic_avian|B3.2,Canada,SK,Unknown,2022-10-22,NA,NA,
PV324640|A/chicken/SK/FAV-1385-2-2022/2022|H5N1|Canada-SK|2022-11-03|domestic_avian|B3.2,Canada,SK,Unknown,2022-11-03,NA,NA,
PV309064|A/Coopers_Hawk/SK/FAV-1470-23-2022/2022|H5N1|Canada-SK|2022-09-16|wild_avian|B3.2,Canada,SK,Unknown,2022-09-16,NA,NA,
PV324656|A/chicken/SK/FAV-1471-1-2022/2022|H5N1|Canada-SK|2022-11-21|domestic_avian|B3.2,Canada,SK,Unknown,2022-11-21,NA,NA,
PV310840|A/Domestic_bird/SK/FAV-1051-1-2022/2022|H5N1|Canada-SK|2022-06-03|domestic_avian|B3.2,Canada,SK,Unknown,2022-06-03,NA,NA,
PV318784|A/Snow_Goose/YT/FAV-0795-3-2022/2022|H5N1|Canada-YT|2022-05-30|wild_avian|B3.2,Canada,YT,Unknown,2022-05-30,NA,NA,
EPI_ISL_17885944|A/Pelican/Antofagasta/228244-2/2022|H5N1|Chile-Antofagasta|2022-12-16|wild_avian|B3.2,Chile,Antofagasta,Antofagasta,2022-12-16,-23.65,-70.4,precise (Martha)
EPI_ISL_19131156|A/Inca_tern/Antofagasta/238083/2023|H5N1|Chile-Antofagasta|2023-02-22|wild_avian|B3.2,Chile,Antofagasta,Antofagasta,2023-02-22,-23.65,-70.4,precise (Martha)
PQ295907|A/Antofagasta/25945/2023|H5N1|Chile-Antofagasta|2023-03-24|human|B3.2,Chile,Antofagasta,Antofagasta,2023-03-24,-23.61671,-70.38642,precise (Martha)
EPI_ISL_17885931|A/Pelican/Antofagasta/228246-3/2022|H5N1|Chile-Antofagasta|2022-12-15|wild_avian|B3.2,Chile,Antofagasta,Tocopilla,2022-12-15,-22.096389,-70.2,precise (Martha)
EPI_ISL_17885958|A/chicken/Araucania/239189-2/2023|H5N1|Chile-Araucania|2023-02-28|domestic_avian|B3.2,Chile,Araucania,Cautin,2023-02-28,-38.7934,-72.9758,precise (Martha)
EPI_ISL_18760073|A/chicken/Araucania/244469/2023|H5N1|Chile-Araucania|2023-03-25|domestic_avian|B3.2,Chile,Araucania,Vilcun,2023-03-25,-38.70947038,-72.28213908,precise (Martha)
EPI_ISL_17885978|A/Sanderling/Arica_y_Parinacota/240265/2023|H5N1|Chile-Arica|2023-03-03|wild_avian|B3.2,Chile,Arica_y_Parinacota,Arica,2023-03-03,-18.477778,-70.318056,precise (Martha)
EPI_ISL_16891400|A/gray_gull/Chile/C61947/2022|H5N1|Chile|2022-12-02|wild_avian|B3.2,Chile,Arica_y_Parinacota,Arica ,2022-12-02,-18.4136444,-70.3245328,precise (Martha)
EPI_ISL_17885980|A/Sanderling/Arica_y_Parinacota/230758-1/2022|H5N1|Chile-Arica|2022-12-30|wild_avian|B3.2,Chile,Arica_y_Parinacota,Arica,2022-12-30,-18.477778,-70.318056,precise (Martha)
EPI_ISL_17885924|A/Pelican/Atacama/230158-2/2022|H5N1|Chile-Atacama|2022-12-30|wild_avian|B3.2,Chile,Atacama,Huasco,2022-12-30,-28.510219,-71.0814,precise (Martha)
EPI_ISL_19391462|A/sea_lion/Atacama/242444-1/2023|H5N1|Chile-Atacama|2023-03-13|other_mammal|B3.2,Chile,Atacama,Copiapo,2023-03-13,-27.38183161,-69.93163954,precise (Martha)
EPI_ISL_17885926|A/Pelican/Atacama/229450-2/2022|H5N1|Chile-Atacama|2022-12-26|wild_avian|B3.2,Chile,Atacama,Copiapo,2022-12-26,-27.066667,-70.833333,precise (Martha)
EPI_ISL_19151400|A/guanay_cormorant/Atacama/235520-1/2023|H5N1|Chile-Atacama|2023-02-05|wild_avian|B3.2,Chile,Atacama,Chanaral,2023-02-05,-26.344444,-70.621944,precise (Martha)
EPI_ISL_18760074|A/chicken/Atacama/235254-2/2023|H5N1|Chile-Atacama|2023-02-04|domestic_avian|B3.2,Chile,Atacama,Unknown,2023-02-04,NA,NA,
EPI_ISL_19131162|A/Inca_tern/Coquimbo/239619/2023|H5N1|Chile-Coquimbo|2023-03-01|wild_avian|B3.2,Chile,Coquimbo,Elqui,2023-03-01,-29.953056,-71.343333,precise (Martha)
EPI_ISL_20300016|A/brown_skua/Antartic/A324O/2025|H5N1|Chile-Magallanes|2025-01-09|wild_avian|B3.2,Chile,Magallanes y Antartica Chilena,Unknown,2025-01-09,NA,NA,
EPI_ISL_20300019|A/brown_skua/Antartic/A329B/2025|H5N1|Chile-Magallanes|2025-01-13|wild_avian|B3.2,Chile,Magallanes y Antartica Chilena,Unknown,2025-01-13,NA,NA,
EPI_ISL_17885973|A/South_American_tern/Maule/238507/2023|H5N1|Chile-Maule|2023-02-23|wild_avian|B3.2,Chile,Maule,Cauquenes,2023-02-23,-35.8,-72.566667,precise (Martha)
EPI_ISL_17885849|A/Black_Skimmer/Maule/240379/2023|H5N1|Chile-Maule|2023-03-06|wild_avian|B3.2,Chile,Maule,Cauquenes,2023-03-06,-35.8,-72.566667,precise (Martha)
EPI_ISL_19410280|A/chicken/Maule/247588-1/2023|H5N1|Chile-Maule|2023-04-07|domestic_avian|B3.2,Chile,Maule,Unknown,2023-04-07,NA,NA,
EPI_ISL_17885873|A/chicken/Nuble/241681-1/2023|H5N1|Chile-Nuble|2023-03-10|domestic_avian|B3.2,Chile,Nuble,Diguillin,2023-03-10,-36.689629,-72.09428,precise (Martha)
EPI_ISL_17885877|A/chicken/Nuble/240155/2023|H5N1|Chile-Nuble|2023-03-06|domestic_avian|B3.2,Chile,Nuble,Unknown,2023-03-06,NA,NA,
EPI_ISL_17885878|A/chicken/Nuble/239136/2023|H5N1|Chile-Nuble|2023-02-27|domestic_avian|B3.2,Chile,Nuble,Diguillin,2023-02-27,-36.6761,-72.2881,precise (Martha)
EPI_ISL_17885918|A/Pelican/Nuble/233947-2/2023|H5N1|Chile-Nuble|2023-01-26|wild_avian|B3.2,Chile,Nuble,Itata,2023-01-26,-36.430833,-72.668056,precise (Martha)
EPI_ISL_17885915|A/Pelican/OHiggins/233663-1/2023|H5N1|Chile-OHiggins|2023-01-24|wild_avian|B3.2,Chile,Ohiggins,Cardenal Caro,2023-01-24,-34.391944,-72.013889,precise (Martha)
EPI_ISL_17885965|A/Chiloe_wigeon/OHiggins/240893-2/2023|H5N1|Chile-OHiggins|2023-03-09|wild_avian|B3.2,Chile,Ohiggins,Cardenal Caro,2023-03-09,-34.391944,-72.013889,precise (Martha)
EPI_ISL_17885967|A/Blackish_oystercatcher/OHiggins/240628/2023|H5N1|Chile-OHiggins|2023-03-06|wild_avian|B3.2,Chile,Ohiggins,Cardenal Caro,2023-03-06,-33.95,-71.833333,precise (Martha)
EPI_ISL_18760061|A/pelican/Bio_Bio/236574/2023|H5N1|Chile-Biobio|2023-02-13|wild_avian|B3.2,Chile,Region_del_Biobio,Concepcion,2023-02-13,-36.616667,-72.95,precise (Martha)
EPI_ISL_19410300|A/gull/Biobio/237012/2023|H5N1|Chile-Biobio|2023-02-15|wild_avian|B3.2,Chile,Region_del_Biobio,Unknown,2023-02-15,NA,NA,
EPI_ISL_19418491|A/buff-necked_ibis/Bio_bio/247636-1/2023|H5N1|Chile-Biobio|2023-04-07|wild_avian|B3.2,Chile,Region_del_Biobio,Unknown,2023-04-07,NA,NA,
EPI_ISL_18760060|A/chicken/Metropolitana/243148-1/2023|H5N1|Chile-Metropolitana|2023-03-20|domestic_avian|B3.2,Chile,Region_Metropolitana_de_Santiago,Unknown,2023-03-20,NA,NA,
EPI_ISL_17885951|A/Gray_gull/Tarapaca/232825-1/2023|H5N1|Chile-Tarapaca|2023-01-18|wild_avian|B3.2,Chile,Tarapaca,Unknown,2023-01-18,NA,NA,
EPI_ISL_17885942|A/Pelican/Tarapaca/227436-2/2022|H5N1|Chile-Tarapaca|2022-12-09|wild_avian|B3.2,Chile,Tarapaca,Iquique,2022-12-09,-20.216667,-70.15,precise (Martha)
EPI_ISL_19410286|A/turkey/Valparaiso/245886-5/2023|H5N1|Chile-Valparaiso|2023-03-30|domestic_avian|B3.2,Chile,Valparaiso,Unknown,2023-03-30,NA,NA,
EPI_ISL_17885982|A/pelican/Valparaiso/234040/2023|H5N1|Chile-Valparaiso|2023-01-25|wild_avian|B3.2,Chile,Valparaiso,San Antonio,2023-01-25,-33.391111,-71.692778,precise (Martha)
EPI_ISL_19131163|A/Peruvean_booby/Valparaiso/238535/2023|H5N1|Chile-Valparaiso|2023-02-24|wild_avian|B3.2,Chile,Valparaiso,Valparaiso,2023-02-24,-32.78174,-71.53328,precise (Martha)
EPI_ISL_18760069|A/sea_lion/Valparaiso/SJCEIRR-2431361/2023|H5N1|Chile-Valparaiso|2023-03-19|other_mammal|B3.2,Chile,Valparaiso,Quintero,2023-03-19,-32.69895,-71.4293542,precise (Martha)
EPI_ISL_17885983|A/pelican/Valparaiso/233450-1/2023|H5N1|Chile-Valparaiso|2023-01-23|wild_avian|B3.2,Chile,Valparaiso,Petorca,2023-01-23,-32.553611,-71.458889,precise (Martha)
OQ683458|A/chicken/Colombia/Bolivar/3500/2022|H5N1|Colombia-Bolivar|2022-11-08|domestic_avian|B3.2,Colombia,Bolivar,Unknown,2022-11-08,NA,NA,
EPI_ISL_17353510|A/chicken/Cordoba/ICA-3499/2022|H5N1|Argentina-Cordoba|2022-11-26|domestic_avian|B3.2,Colombia,Cordoba,Unknown,2022-11-26,NA,NA,
EPI_ISL_17353838|A/chicken/Magdalena/ICA-3503/2022|H5N1|Chile-Magdalena|2022-11-18|domestic_avian|B3.2,Colombia,Departamento_del_Magdalena,Unknown,2022-11-18,NA,NA,
OQ683490|A/chicken/Colombia/Magdalena/3503/2022|H5N1|Colombia-Magdalena|2022-11-18|domestic_avian|B3.2,Colombia,Magdalena,Unknown,2022-11-18,NA,NA,
EPI_ISL_16958548|A/falcon/Costa_Rica/INC-0001-D0377-23/2023|H5N1|Costa_Rica-Limon|2023-01-26|wild_avian|B3.2,Costa_Rica,Limon,Pococi,2023-01-26,NA,NA,
EPI_ISL_17965774|A/pelican/Costa_Rica/INC-0018-D0370-23/2023|H5N1|Costa_Rica-Limon|2023-01-26|wild_avian|B3.2,Costa_Rica,Limon,Talamanca,2023-01-26,9.6477,-82.7324,beach
EPI_ISL_17973443|A/wildbird-Fregata-magnificens/Ecuador/IC03-4587/2023|H5N1|Ecuador-Manabi|2023-01-11|wild_avian|B3.2,Ecuador,Guayas,San Jacinto de Yaguachi,2023-01-11,-0.79805746,-80.5195928,precise (Martha)
EPI_ISL_18918640|A/Southern_Fulmar/Falkland_Islands/138870/2023|H5N1|UK-Falkland_Islands|2023-11-14|wild_avian|B3.2,Falkland Islands,Stanley,Unknown,2023-11-14,-51.693946,-57.8572918,precise (Martha)
EPI_ISL_17558875|A/pelican/Honduras/23-000009-001/2022|H5N1|Honduras-Atlantida|2022-12-27|wild_avian|B3.2,Honduras,Atlantida,Unknown,2022-12-27,NA,NA,
EPI_ISL_17777528|A/peruvian_booby/Peru/CAL-INS-007/2023|H5N1|Peru-Callao|2023-03-17|wild_avian|B3.2,Peru,Callao,Callao,2023-03-17,-12.052222,-77.139167,precise (Martha)
OQ547423|A/Nannopterum_brasilianus/Peru/AISA0446/2022|H5N1|Peru|2022-11-22|wild_avian|B3.2,Peru,Callao,Callao,2022-11-22,-12.052222,-77.139167,precise (Martha)
OQ547447|A/Pelecanus_thagus/Peru/AISA0464/2022|H5N1|Peru|2022-11-22|wild_avian|B3.2,Peru,Callao,Callao,2022-11-22,-12.052222,-77.139167,precise (Martha)
EPI_ISL_17777530|A/guanay_cormorant/Peru/CAL-INS-009/2023|H5N1|Peru-Callao|2023-03-17|wild_avian|B3.2,Peru,Callao,Callao,2023-03-17,-12.052222,-77.139167,precise (Martha)
EPI_ISL_18217104|A/duck/Peru/CAL-INS-013/2023|H5N1|Peru-Callao|2023-07-24|domestic_avian|B3.2,Peru,Callao,Unknown,2023-07-24,NA,NA,
OQ547431|A/Panthera_leo/Peru/AIS0554/2023|H5N1|Peru|2023-02-08|feline|B3.2,Peru,Junin,Huancayo,2023-02-08,-12.0621201,-75.1961831,precise (Martha)
OQ547375|A/Gallus_gallus/Peru/AIS0544/2022|H5N1|Peru|2022-12-03|domestic_avian|B3.2,Peru,La Libertad,Chepen,2022-12-03,-7.2252421,-79.411259,precise (Martha)
EPI_ISL_18371666|A/Peruvian_booby/Peru/UNMSM-A296/2022|H5N1|Peru|2022-12-01|wild_avian|B3.2,Peru,La Libertad,Viru,2022-12-01,-8.53379,-78.96318,precise (Martha)
OQ547343|A/Gallus_gallus/Peru/AIS0539/2022|H5N1|Peru|2022-11-18|domestic_avian|B3.2,Peru,Lambayeque,Lambayeque,2022-11-18,-6.7172767,-79.906572,precise (Martha)
EPI_ISL_16249681|A/chicken/Peru/LAM-INS-002/2022|H5N1|Peru-Lambayeque|2022-11-28|domestic_avian|B3.2,Peru,Lambayeque,Lambayeque,2022-11-28,-6.748801,-79.986917,precise (Martha)
EPI_ISL_18497946|A/duck/Peru/LAM-INS-014/2023|H5N1|Peru-Lambayeque|2023-09-26|domestic_avian|B3.2,Peru,Lambayeque,Unknown,2023-09-26,NA,NA,
EPI_ISL_19070288|A/Calidris_alba/Lima/Villa01/2023___this_|H5N1|Peru-Lima|2023-04-20|wild_avian|B3.2,Peru,Lima,Lima,2023-04-20,-12.211929,-76.99026,precise (Martha)
OQ547351|A/Gallus_gallus/Peru/AIS0540/2022|H5N1|Peru|2022-11-28|domestic_avian|B3.2,Peru,Lima,Lima,2022-11-28,-12.059548,-77.03883,precise (Martha)
OQ550458|A/pelican/Peru/PIU-SER028/2022|H5N1|Peru|2022-11-24|wild_avian|B3.2,Peru,Lima,Lima,2022-11-24,-5.5176602,-80.896081,precise (Martha)
OQ547415|A/Gallus_gallus/Peru/AIS0551/2022|H5N1|Peru|2022-12-12|domestic_avian|B3.2,Peru,Lima,Lima,2022-12-12,-12.059548,-77.03883,precise (Martha)
OQ925725|A/south_american_sea_lion/Peru/AQP-SER00K/2023|H5N1|Peru|2023-02-07|other_mammal|B3.2,Peru,Lima,Canete,2023-02-07,-12.91786123,-76.507071,precise (Martha)
EPI_ISL_18371664|A/Belcher_gull/Peru/UNMSM-A267/2022|H5N1|Peru|2022-12-01|wild_avian|B3.2,Peru,Lima,Lima,2022-12-01,-12.1077,-77.0606,precise (Martha)
OQ550474|A/South_American_Sea_Lion/Peru/LIM-SER036/2023|H5N1|Peru|2023-01-23|other_mammal|B3.2,Peru,Lima,Lima,2023-01-23,-12.1218839,-77.045041,precise (Martha)
EPI_ISL_17777533|A/peruvian_booby/Peru/LIM-INS-012/2023|H5N1|Peru-Lima|2023-04-12|wild_avian|B3.2,Peru,Lima,Barranca,2023-04-12,-10.7953673,-77.744885,precise (Martha)
EPI_ISL_17777527|A/gull/Peru/LIM-INS-006/2023|H5N1|Peru-Lima|2023-03-16|wild_avian|B3.2,Peru,Lima,Unknown,2023-03-16,NA,NA,
OQ550466|A/Sanderling/Peru/PIU-SER005/2022|H5N1|Peru|2022-11-22|wild_avian|B3.2,Peru,Piura,Paita,2022-11-22,-5.1499528,-81.170758,precise (Martha)
OQ547439|A/Pelecanus_thagus/Peru/AIS0538/2022|H5N1|Peru|2022-11-10|wild_avian|B3.2,Peru,Piura,Paita,2022-11-10,-5.197348,-81.200409,precise (Martha)
EPI_ISL_17777531|A/sea_lion/Peru/TAC-INS-010/2023|H5N1|Peru-Tacna|2023-03-07|other_mammal|B3.2,Peru,Tacna,Tacna,2023-03-07,-18.137864,-70.699826,precise (Martha)
EPI_ISL_17777532|A/sea_lion/Peru/TAC-INS-011/2023|H5N1|Peru-Tacna|2023-03-07|other_mammal|B3.2,Peru,Tacna,Tarata,2023-03-07,-17.64664722,-70.30376039,precise (Martha)
OR381676|A/Black-necked_swan/Uruguay/078-M2/2023|H5N1|Uruguay-Canelones|2023-03-15|wild_avian|B3.2,Uruguay,Canelones,Tala,2023-03-15,-34.5713,-55.7469,precise (Martha)
OR912286|A/pinniped/Uruguay/P10_8923/2023|H5N1|Uruguay-Rocha|2023-09-08|other_mammal|B3.2,Uruguay,Canelones,Canelones,2023-09-08,-34.523896,-56.281724,precise (Martha)
OR912287|A/pinniped/Uruguay/P13_11923/2023|H5N1|Uruguay-Canelones|2023-09-11|other_mammal|B3.2,Uruguay,Canelones,Canelones,2023-09-11,-34.523896,-56.281724,precise (Martha)
OR912291|A/pinniped/Uruguay/P17_14923/2023|H5N1|Uruguay-Isla_de_Lobos|2023-09-14|other_mammal|B3.2,Uruguay,Maldonado,Unknown,2023-09-14,NA,NA,island
