label,collection_date,country,admin1,admin2,city.town.municipality,latitude,longitude,location_used,location
EPI_ISL_20179757|A/South_polar_skua/Beak_Island/SK08-138/2024|H5N1|Antarctica-Beak_Island|2024-03-20|wild_avian|B3.2,2024-03-20,Antarctica,Beak_Island,Unknown,,NA,NA,,Antarctica_Beak_Island_Unknown
EPI_ISL_20179903|A/Skua/Beak_Island/SK09-147/2024|H5N1|Antarctica-Beak_Island|2024-03-20|wild_avian|B3.2,2024-03-20,Antarctica,Beak_Island,Unknown,,NA,NA,,Antarctica_Beak_Island_Unknown
EPI_ISL_20180235|A/Skua/Beak_Island/SK13-180/2024|H5N1|Antarctica-Beak_Island|2024-03-21|wild_avian|B3.2,2024-03-21,Antarctica,Beak_Island,Unknown,,NA,NA,,Antarctica_Beak_Island_Unknown
EPI_ISL_20180240|A/Skua/Beak_Island/SK17-184/2024|H5N1|Antarctica-Beak_Island|2024-03-21|wild_avian|B3.2,2024-03-21,Antarctica,Beak_Island,Unknown,,NA,NA,,Antarctica_Beak_Island_Unknown
EPI_ISL_20180245|A/Skua/Devil_Island/SK07-52/2024|H5N1|Antarctica-Devil_Island|2024-03-19|wild_avian|B3.2,2024-03-19,Antarctica,Devil_Island,Unknown,,NA,NA,,Antarctica_Devil_Island_Unknown
EPI_ISL_20179748|A/Brown_skua/Hope_Bay/SK02-30/2024|H5N1|Antarctica-Hope_Bay|2024-03-18|wild_avian|B3.2,2024-03-18,Antarctica,Hope_Bay,Unknown,,NA,NA,,Antarctica_Hope_Bay_Unknown
EPI_ISL_19410266|A/South_polar_skua/Antarctica/INACH-UC-UCHILE-SKU5L/2024|H5N1|Antarctica|2024-03-03|wild_avian|B3.2,2024-03-03,Antarctica,James Ross Island,Unknown,,-63.7989,-57.8105,precise (https://pubmed.ncbi.nlm.nih.gov/40633557/),Antarctica_James Ross Island_Unknown
EPI_ISL_19847535|A/Brown_skua/Fildes_Peninsula/B1/2024_H5N1_|H5N1|Antarctica-Fildes_Peninsula|2024-12-10|wild_avian|B3.2,2024-12-10,Antarctica,King_George_Island,Fildes_Peninsula,,NA,NA,,Antarctica_King_George_Island_Fildes_Peninsula
EPI_ISL_20180699|A/antarctic_fur_seal/Antarctica/O2904-BR/2024|H5N1|Antarctica-King_George_Island|2024-12-09|other_mammal|B3.2,2024-12-09,Antarctica,King_George_Island,Unknown,,NA,NA,,Antarctica_King_George_Island_Unknown
EPI_ISL_20180700|A/antarctic_fur_seal/Antarctica/O2913-BR/2024|H5N1|Antarctica-King_George_Island|2024-12-12|other_mammal|B3.2,2024-12-12,Antarctica,King_George_Island,Unknown,,NA,NA,,Antarctica_King_George_Island_Unknown
EPI_ISL_20182795|A/antarctic_shag/Antarctica/O3348-OR/2025|H5N1|Antarctica-King_George_Island|2025-02-04|wild_avian|B3.2,2025-02-04,Antarctica,King_George_Island,Unknown,,NA,NA,,Antarctica_King_George_Island_Unknown
EPI_ISL_20180690|A/skua/Antarctica/O3577-CL/2025|H5N1|Antarctica-King_George_Island|2025-02-25|wild_avian|B3.2,2025-02-25,Antarctica,King_George_Island,Unknown,,NA,NA,,Antarctica_King_George_Island_Unknown
EPI_ISL_20180691|A/skua/Antarctica/O3588-CL/2025|H5N1|Antarctica-King_George_Island|2025-02-28|wild_avian|B3.2,2025-02-28,Antarctica,King_George_Island,Unknown,,NA,NA,,Antarctica_King_George_Island_Unknown
EPI_ISL_20180696|A/skua/Antarctica/O3610-OR/2025|H5N1|Antarctica-King_George_Island|2025-03-05|wild_avian|B3.2,2025-03-05,Antarctica,King_George_Island,Unknown,,NA,NA,,Antarctica_King_George_Island_Unknown
EPI_ISL_19879314|A/pintado_petrel/Antarctica/O3121-CL/2024|H5N1|Antarctica-Livingston_Island|2024-12-03|wild_avian|B3.2,2024-12-03,Antarctica,Livingston_Island,Unknown,,NA,NA,,Antarctica_Livingston_Island_Unknown
EPI_ISL_19879315|A/antarctic_fur_seal/Antarctica/O3122-BR/2024|H5N1|Antarctica-Robert_Island|2024-12-04|other_mammal|B3.2,2024-12-04,Antarctica,Robert_Island,Unknown,,NA,NA,,Antarctica_Robert_Island_Unknown
EPI_ISL_18592429|A/Brown_Skua/Hound_Bay/133949/2023|H5N1|Antarctica-Hound_Bay|2023-10-30|wild_avian|B3.2,2023-10-30,Antarctica,South_Georgia_and_the_South_Sandwich_Islands,Hound Bay,,-54.381069,-36.253215,precise (Martha),Antarctica_South_Georgia_and_the_South_Sandwich_Islands_Hound Bay
EPI_ISL_18742218|A/Brown_Skua/Penguin_River/141240/2023|H5N1|Antarctica-Penguin_River|2023-11-08|wild_avian|B3.2,2023-11-08,Antarctica,South_Georgia_and_the_South_Sandwich_Islands,Penguin_river,,-54.300917,-36.492071,precise (Martha),Antarctica_South_Georgia_and_the_South_Sandwich_Islands_Penguin_river
EPI_ISL_18439563|A/Brown_skua/Bird_Island/128288/2023|H5N1|Antarctica-Bird_Island|2023-10-08|wild_avian|B3.2,2023-10-08,Antarctica,South_Georgia_and_the_South_Sandwich_Islands,Bird Island,,-54.006334,-38.047372,precise (Martha),Antarctica_South_Georgia_and_the_South_Sandwich_Islands_Bird Island
